team,GP,W,D,L,GF,GA,GD,PTS,vPTS,vPTS_diff,vPPG,PPG
Inter Miami CF,40,24,8,8,101,60,41,80,68.8,11.2,1.72,2.0
San Diego FC,39,22,7,10,74,47,27,73,61.2,11.8,1.57,1.87
Vancouver Whitecaps FC,39,20,11,8,76,45,31,71,61.3,9.7,1.57,1.82
FC Cincinnati,38,22,5,11,55,49,6,71,56.2,14.8,1.48,1.87
Philadelphia Union,37,21,7,9,62,38,24,70,55.2,14.8,1.49,1.89
LAFC,37,19,10,8,73,44,29,67,64.6,2.4,1.75,1.81
New York City FC,39,20,6,13,56,50,6,66,54.6,11.4,1.4,1.69
Minnesota United FC,38,16,12,10,61,47,14,60,55.2,4.8,1.45,1.58
Seattle Sounders FC,37,16,12,9,65,53,12,60,60.1,-0.1,1.62,1.62
Charlotte FC,37,19,3,15,56,50,6,60,50.2,9.8,1.36,1.62
Nashville SC,37,17,6,14,61,53,8,57,55.0,2.0,1.49,1.54
Chicago Fire FC,37,16,9,12,73,66,7,57,50.3,6.7,1.36,1.54
Columbus Crew,37,15,12,10,60,54,6,57,58.9,-1.9,1.59,1.54
Orlando City SC,35,14,11,10,64,54,10,53,55.8,-2.8,1.59,1.51
Portland Timbers,38,12,12,14,47,57,-10,48,47.5,0.5,1.25,1.26
Austin FC,36,13,8,15,39,51,-12,47,47.3,-0.3,1.31,1.31
FC Dallas,36,11,12,13,53,59,-6,45,42.5,2.5,1.18,1.25
New York Red Bulls,34,12,7,15,48,47,1,43,46.7,-3.7,1.37,1.26
San Jose Earthquakes,34,11,8,15,60,63,-3,41,43.5,-2.5,1.28,1.21
Colorado Rapids,34,11,8,15,44,56,-12,41,42.3,-1.3,1.24,1.21
Real Salt Lake,35,12,5,18,39,52,-13,41,48.6,-7.6,1.39,1.17
Houston Dynamo FC,34,9,10,15,43,56,-13,37,45.1,-8.1,1.33,1.09
New England Revolution,34,9,9,16,44,51,-7,36,40.8,-4.8,1.2,1.06
Toronto FC,34,6,14,14,37,44,-7,32,34.1,-2.1,1.0,0.94
St. Louis City SC,34,8,8,18,44,58,-14,32,40.8,-8.8,1.2,0.94
LA Galaxy,34,7,9,18,46,66,-20,30,42.4,-12.4,1.25,0.88
Sporting Kansas City,34,7,7,20,46,70,-24,28,37.7,-9.7,1.11,0.82
Atlanta United FC,34,5,13,16,38,63,-25,28,43.0,-15.0,1.26,0.82
CF Montréal,34,6,10,18,34,60,-26,28,35.2,-7.2,1.04,0.82
D.C. United,34,5,11,18,30,66,-36,26,39.0,-13.0,1.15,0.76
