team,GP,W,D,L,GF,GA,GD,PTS,vPTS,vPTS_diff,PPG,vPPG
Inter Miami CF,40,24,8,8,101,60,41,80,68.8,11.2,2.0,1.72
San Diego FC,39,22,7,10,74,47,27,73,61.2,11.8,1.87,1.57
Vancouver Whitecaps FC,39,20,11,8,76,45,31,71,61.3,9.7,1.82,1.57
FC Cincinnati,38,22,5,11,55,49,6,71,56.2,14.8,1.87,1.48
Philadelphia Union,37,21,7,9,62,38,24,70,55.2,14.8,1.89,1.49
LAFC,37,19,10,8,73,44,29,67,64.6,2.4,1.81,1.75
New York City FC,39,20,6,13,56,50,6,66,54.6,11.4,1.69,1.4
Minnesota United FC,38,16,12,10,61,47,14,60,55.2,4.8,1.58,1.45
Seattle Sounders FC,37,16,12,9,65,53,12,60,60.1,-0.1,1.62,1.62
Charlotte FC,37,19,3,15,56,50,6,60,50.2,9.8,1.62,1.36
Nashville SC,37,17,6,14,61,53,8,57,55.0,2.0,1.54,1.49
Chicago Fire FC,37,16,9,12,73,66,7,57,50.3,6.7,1.54,1.36
Columbus Crew,37,15,12,10,60,54,6,57,58.9,-1.9,1.54,1.59
Orlando City SC,35,14,11,10,64,54,10,53,55.8,-2.8,1.51,1.59
Portland Timbers,38,12,12,14,47,57,-10,48,47.5,0.5,1.26,1.25
Austin FC,36,13,8,15,39,51,-12,47,47.3,-0.3,1.31,1.31
FC Dallas,36,11,12,13,53,59,-6,45,42.5,2.5,1.25,1.18
New York Red Bulls,34,12,7,15,48,47,1,43,46.7,-3.7,1.26,1.37
San Jose Earthquakes,34,11,8,15,60,63,-3,41,43.5,-2.5,1.21,1.28
Colorado Rapids,34,11,8,15,44,56,-12,41,42.3,-1.3,1.21,1.24
Real Salt Lake,35,12,5,18,39,52,-13,41,48.6,-7.6,1.17,1.39
Houston Dynamo FC,34,9,10,15,43,56,-13,37,45.1,-8.1,1.09,1.33
New England Revolution,34,9,9,16,44,51,-7,36,40.8,-4.8,1.06,1.2
Toronto FC,34,6,14,14,37,44,-7,32,34.1,-2.1,0.94,1.0
St. Louis City SC,34,8,8,18,44,58,-14,32,40.8,-8.8,0.94,1.2
LA Galaxy,34,7,9,18,46,66,-20,30,42.4,-12.4,0.88,1.25
Sporting Kansas City,34,7,7,20,46,70,-24,28,37.7,-9.7,0.82,1.11
Atlanta United FC,34,5,13,16,38,63,-25,28,43.0,-15.0,0.82,1.26
CF Montréal,34,6,10,18,34,60,-26,28,35.2,-7.2,0.82,1.04
D.C. United,34,5,11,18,30,66,-36,26,39.0,-13.0,0.76,1.15
